user_id,movie title,rating
1001,Aladdin (1992),1.0
1001,Braveheart (1995),5.0
1001,"Clockwork Orange, A (1971)",2.0
1001,Dances with Wolves (1990),3.5
1001,"English Patient, The (1996)",2.0
1001,Face/Off (1997),3.5
1001,Forrest Gump (1994),4.0
1001,"Game, The (1997)",3.5
1001,"Godfather, The (1972)",5.0
1001,Jurassic Park (1993),3.5
1001,Liar Liar (1997),2.0
1001,"Lion King, The (1994)",2.5
1001,Pulp Fiction (1994),4.0
1001,Reservoir Dogs (1992),4.0
1001,Return of the Jedi (1983),1.0
1001,"Rock, The (1996)",4.0
1001,Scream (1996),1.0
1001,Seven (Se7en) (1995),5.0
1001,"Silence of the Lambs, The (1991)",5.0
1001,Star Trek: First Contact (1996),1.0
1001,Star Trek: The Wrath of Khan (1982),1.0
1001,Star Wars (1977),1.0
1001,Terminator 2: Judgment Day (1991),3.5
1001,Titanic (1997),4.0
1001,Trainspotting (1996),3.0
